0.000586,	-4.045049
0.006812,	-0.369406
0.029180,	-49.183103
0.068213,	-34.172566
0.084781,	-32.350193
0.104809,	-38.383108
0.105152,	-47.366216
0.105176,	-56.587367
0.105325,	-12.727951
0.108149,	-62.130165
0.112753,	-33.330311
0.113071,	-83.264988
0.122282,	-34.873277
0.131777,	-2.861953
0.131839,	-1.969013
0.139485,	-82.794527
0.140149,	-83.695990
0.151169,	-49.982911
0.161392,	-7.362000
0.167565,	-14.396253
0.172620,	-39.432373
0.175288,	-34.400326
0.177842,	-10.226501
0.189669,	-27.380988
0.191690,	-39.376079
0.220875,	-35.915443
0.240186,	-10.908851
0.243792,	-63.676995
0.248969,	-66.540076
0.249923,	-25.084010
0.254007,	-34.681006
0.257442,	-75.200308
0.267161,	-70.853236
0.272241,	-15.851906
0.272726,	-16.990321
0.275925,	-17.690715
0.282488,	-29.675257
0.286892,	-12.554959
0.289754,	-38.097231
0.292937,	-33.493755
0.313498,	-8.444542
0.324972,	-7.773847
0.337680,	-67.260268
0.340796,	-0.194025
0.346779,	-76.153467
0.352173,	-20.668203
0.352191,	-4.633305
0.357960,	-13.442030
0.361540,	-46.503573
0.388493,	-10.963273
0.415715,	-75.767448
0.423307,	-15.677879
0.423650,	-68.820724
0.428621,	-39.513490
0.430739,	-30.958738
0.438616,	-45.254878
0.451150,	-38.345320
0.460366,	-9.144434
0.462848,	-31.423806
0.471947,	-30.419099
0.507980,	-40.254380
0.518102,	-39.351632
0.527022,	-30.335308
0.538126,	-2.772817
0.538633,	-75.142725
0.546133,	-68.858808
0.549543,	-21.886009
0.569249,	-61.368344
0.571153,	-33.522788
0.575575,	-25.654087
0.578672,	-47.158470
0.590526,	-14.111851
0.607141,	-7.725934
0.630148,	-34.437625
0.643781,	-5.389982
0.652113,	-5.484455
0.657650,	-15.866348
0.663486,	-77.945328
0.673141,	-4.198938
0.675679,	-50.413159
0.690957,	-30.473601
0.692401,	-15.800882
0.723128,	-56.353246
0.730857,	-44.552779
0.738366,	-0.413309
0.757476,	-6.449825
0.759484,	-31.304312
0.766825,	-33.199134
0.768875,	-18.439893
0.778663,	-13.130881
0.791661,	-14.674821
0.792118,	-54.748989
0.792714,	-16.251877
0.797906,	-52.699170
